municipios,Avenida paster - 458 - Urca,ANGRA DOS REIS,ARARUAMA,BELFORD ROXO,CABO FRIO,DUQUE DE CAXIAS,IGUABA GRANDE,ITABORAI,MAGE,MANGARATIBA,MARICA,MESQUITA,NILOPOLIS,NITEROI,NOVA FRIBURGO,NOVA IGUACU,PARAIBA DO SUL,PETROPOLIS,QUEIMADOS,RIO DAS OSTRAS,SAO GONCALO,SAO JOAO DE MERITI,SAO PEDRO DA ALDEIA,SAQUAREMA,TANGUA,TERESOPOLIS,VALENCA
Avenida Pasteur - 458 - Urca,0,130,90,35,120,28,110,45,50,90,55,35,40,24,130,40,120,65,50,120,35,28,110,100,55,80,140
ANGRA DOS REIS,150,0,210,110,240,130,230,160,130,55,190,110,110,150,210,100,190,150,100,240,160,120,230,220,180,160,170
ARARUAMA,100,210,0,100,45,100,30,75,80,160,55,110,110,100,130,140,190,130,120,65,70,120,35,28,45,120,210
BELFORD ROXO,45,110,110,0,140,26,130,65,50,100,75,9,14,40,130,12,120,65,24,140,55,12,140,120,75,80,120
CABO FRIO,120,230,45,130,0,120,24,75,100,190,90,130,140,100,150,140,210,160,150,50,100,120,18,65,65,140,240
DUQUE DE CAXIAS,30,120,100,16,130,0,110,55,35,75,65,20,26,30,120,22,100,55,35,130,40,10,110,110,65,70,130
IGUABA GRANDE,100,210,24,100,30,100,0,75,80,160,70,110,110,100,130,110,190,130,120,50,70,100,16,45,45,120,210
ITABORAI,50,160,55,55,80,50,70,0,35,120,35,60,65,30,85,65,140,90,75,85,26,50,70,60,18,75,170
MAGE,65,130,80,45,100,35,90,30,0,90,60,50,55,40,90,50,110,60,65,90,40,40,90,85,40,45,140
MANGARATIBA,110,50,170,70,190,85,180,120,90,0,140,65,70,110,170,60,150,100,60,200,110,70,180,170,130,120,130
MARICA,60,170,55,65,100,60,90,35,55,120,0,70,75,40,110,75,150,100,85,110,40,60,90,50,40,100,170
MESQUITA,45,110,120,10,140,26,130,70,50,65,80,0,5,45,130,8,120,70,26,150,55,12,130,120,80,85,120
NILOPOLIS,45,110,120,14,140,26,130,65,50,65,75,5,0,45,130,14,110,65,30,18,50,16,130,120,75,80,120
NITEROI,26,130,75,30,100,26,85,26,40,90,35,35,40,0,110,40,120,65,50,100,12,26,85,80,35,80,140
NOVA FRIBURGO,130,210,210,140,160,120,150,85,100,170,110,140,150,110,0,150,150,140,140,100,110,130,140,130,90,90,220
NOVA IGUACU,50,110,120,14,150,30,140,75,50,65,85,8,14,50,140,0,130,70,24,150,60,16,130,130,85,85,120
PARAIBA DO SUL,140,190,180,110,210,100,200,140,100,150,160,120,130,130,170,130,0,75,130,210,140,110,200,190,150,90,80
PETROPOLIS,75,140,130,55,160,50,140,85,55,100,110,60,65,75,130,65,70,0,75,160,85,50,140,140,90,75,140
QUEIMADOS,70,100,130,28,160,45,140,80,50,60,100,26,30,70,130,22,130,70,0,160,80,30,140,130,90,85,110
RIO DAS OSTRAS,130,240,65,130,55,130,45,85,110,190,110,140,150,110,110,140,220,170,150,0,100,130,40,85,75,150,240
SAO GONCALO,30,140,75,40,100,35,85,24,40,100,40,45,50,12,110,45,130,75,60,100,0,35,85,65,35,80,150
SAO JOAO DE MERITI,35,110,110,5,130,18,120,60,45,65,65,9,14,35,120,12,110,60,24,130,45,0,120,110,70,75,120
SAO PEDRO DA ALDEIA,110,220,35,120,20,110,14,65,90,170,140,120,130,150,140,130,200,150,140,40,85,110,0,55,55,130,230
SAQUAREMA,110,210,28,110,65,100,55,60,85,170,50,110,120,85,130,120,200,140,130,85,75,100,50,0,50,120,220
TANGUA,60,170,45,65,70,60,60,20,45,130,40,70,75,40,90,75,150,100,85,75,35,60,60,55,0,85,180
TERESOPOLIS,100,160,120,80,150,65,130,75,45,120,100,85,90,85,90,85,90,80,90,150,80,75,130,130,85,0,170
VALENCA,180,160,230,130,260,150,250,190,150,140,210,130,130,180,230,120,100,150,120,260,180,130,250,240,200,170,0
